,permit_number,permit_subtype,date_entered,date_issued,business_name,zip,latitude,longitude,permit_duration
440,14-20009,ONSALES,2014-06-26,2014-11-20,WingStop,37211,36.078433,-86.726001,2445 days
441,20-26915,ONSALES,2020-09-08,2021-05-13,THE BLUE ROOM,37203,36.15217,-86.777756,79 days
442,12-19439,ONSALES,2012-02-23,2012-04-12,The Southern,37201,36.160091,-86.775017,3397 days
443,94-15736,ONSALES,1993-07-26,1994-02-01,Las Palmas Mexican Restaurant,37013,36.083188,-86.688886,10042 days
444,10-19188,ONSALES,2010-04-29,2010-05-21,Nashville Shores Water Park,37076,36.165229,-86.603207,4089 days
445,19-25826,ONSALES,2019-01-07,2019-04-15,HILTON GARDEN INN NASHVILLE AIRPORT,37214,36.150893,-86.67704,838 days
446,11-19258,ONSALES,2011-02-08,2011-03-09,Buffalo's Billiards Parlor,37201,36.163518,-86.776222,3797 days
447,12-19575,ONSALES,2012-09-20,2012-10-11,Gaylord Presidential Ballroom,37214,36.211694,-86.697639,3215 days
448,16-00997,ONOFFSALES,2015-11-17,2016-02-01,Amys Ethiopian Rest & Market,37217,36.078678,-86.643493,2007 days
449,11-19259,ONSALES,2011-02-24,2011-03-10,Drifters,37206,36.177124,-86.750967,3796 days
450,15-20211,ONSALES,2015-10-19,2015-11-19,aloft Nashville West End,37203,36.153109,-86.795789,2081 days
451,10-19205,ONSALES,2010-10-11,2010-10-28,Rebar,37203,36.149549,-86.797344,3929 days
452,94-16001,ONSALES,1993-08-18,1994-02-01,Sportsman's Grille,37205,36.099462,-86.871678,10042 days
453,17-25026,ONSALES,2017-05-17,2017-09-07,TAQUERIA DEL SOL,37209,36.152211,-86.841213,1423 days
454,15-20066,ONSALES,2015-02-24,2015-03-12,Acapulco Burrito,37013,36.015703,-86.620135,2333 days
455,18-25798,ONSALES,2018-12-05,2019-03-28,BRIXX,37215,36.104742,-86.813994,856 days
456,13-19774,ONSALES,2013-04-19,2013-08-08,Fogatas,37211,36.046745,-86.713407,2914 days
457,18-25359,ONSALES,2018-02-02,2018-09-13,FAIRLANE HOTEL,37219,36.165034,-86.779826,1052 days
458,14-19898,ONSALES,2014-05-02,2014-05-29,Frothy Monkey,37219,36.164161,-86.780833,2620 days
459,18-25601,ONSALES,2018-07-24,2018-08-31,STAY GOLDEN RESTAURANT AND ROASTERY,37204,36.107946,-86.755637,1065 days
460,17-25131,ONSALES,2017-07-19,2017-10-06,MILK & HONEY NASHVILLE,37203,36.15391,-86.784243,1394 days
461,18-25575,ONSALES,2018-06-29,2018-07-26,FLEET STREET PUB,37201,36.164424,-86.778644,1101 days
462,16-20335,ONSALES,2016-07-15,2016-09-08,Mas Tacos Por Favor,37206,36.184747,-86.754422,1787 days
463,12-19426,ONSALES,2012-02-23,2012-03-08,Loveless Cafe,37221,36.034799,-86.971834,3432 days
464,18-25650,ONSALES,2018-08-15,2019-02-14,"NP 5TH, LLC",37203,36.156228,-86.775648,898 days
465,94-16208,ONSALES,1994-04-05,1994-05-25,Jack's On Broadway Bar B Que,37203,36.160728,-86.777905,9929 days
466,15-20116,ONSALES,2015-05-15,2015-06-11,Roadside Bar & Grill,37138,36.202791,-86.621555,2242 days
467,16-20341,ONSALES,2016-07-14,2016-09-28,DoubleTree by Hilton Hotel,37219,36.165393,-86.780063,1767 days
468,14-19987,ONSALES,2014-07-28,2014-10-16,Smoky Mountain Sportservice at,37013,36.048374,-86.656985,2480 days
469,18-25435,ONOFFSALES,2018-03-23,2018-05-25,51ST DELI,37209,36.161521,-86.849092,1163 days
470,13-19832,ONOFFSALES,2013-12-03,2013-12-18,Mozzarella Pizzeria,37076,36.19354,-86.623215,2782 days
471,16-20377,ONSALES,2016-10-20,2016-12-05,Ginger Thai Inc,37211,36.110873,-86.741881,1699 days
472,94-16016,ONSALES,1993-08-17,1994-02-01,Hillwood Country Club,37205,36.122586,-86.872023,10042 days
473,16-20239,ONSALES,2015-12-30,2016-02-23,Donatos,37203,36.14999,-86.7976,1985 days
474,17-25019,ONSALES,2017-05-16,2018-01-19,MELLOW MUSHROOM,37203,36.160672,-86.778047,1289 days
475,94-00118,ONOFFSALES,1993-10-27,1994-02-01,Rhodes Golf Clubhouse,37208,36.184191,-86.82383,10042 days
476,17-25149,ONSALES,2017-08-01,2017-08-24,"LOS CANTARITOS MEXICAN GRILL, INC.",37211,36.054797,-86.715425,1437 days
477,94-16315,ONSALES,1993-08-12,1994-02-01,Madison Lodge #2473,37116,36.267607,-86.715116,10042 days
478,13-19686,ONSALES,2013-01-25,2013-03-14,Moe's Southwest Grill,37214,36.206632,-86.694926,3061 days
479,05-00729,ONOFFSALES,2004-12-30,2005-01-31,21 Club,37211,36.084036,-86.689559,6025 days
480,17-25268,ONSALES,2017-10-04,2018-01-04,VUI'S KITCHEN GERMANTOWN,37208,36.17571,-86.786731,1304 days
481,14-19982,ONSALES,2014-07-03,2014-10-08,Hooters of Nashville Largo Dr,37211,36.084522,-86.702558,2488 days
482,94-16077,ONSALES,1993-08-02,1994-02-01,Mikado Japanese Steak House,37211,36.087796,-86.695841,10042 days
483,11-19361,ONSALES,2011-09-06,2011-09-29,El Stuffed Pepper Mexican Rest,37205,36.124324,-86.848523,3593 days
484,10-19092,ONSALES,2010-09-30,2010-10-14,Great American Lounge,37203,36.152257,-86.795086,3943 days
485,16-20363,ONSALES,2016-08-23,2016-10-21,Giovanni's West,37205,36.101927,-86.869403,1744 days
486,00-17595,ONSALES,2000-03-08,2000-05-09,Fletcher's Pizza,37214,36.169811,-86.668075,7753 days
487,19-25894,ONSALES,2019-02-25,2019-03-15,BELLEVUE DINER,37221,36.073738,-86.923226,869 days
488,15-20177,ONSALES,2015-08-18,2015-09-14,The Capitol Hotel,37219,36.16315,-86.784209,2147 days
489,18-25643,ONSALES,2018-08-10,2018-09-14,ALIBI RESTAURANT & LOUNGE,37207,36.222953,-86.76122,1051 days
490,13-19785,ONSALES,2013-08-13,2013-09-03,Green Hills 16,37215,36.108825,-86.815459,2888 days
491,16-20308,ONSALES,2016-03-30,2016-07-25,Carrabba's Italian Grill,37215,36.107845,-86.813039,1832 days
492,08-18876,ONSALES,2008-07-08,2008-07-24,The Flying Saucer,37203,36.156818,-86.78368,4755 days
493,00-00507,ONOFFSALES,2000-01-03,2000-01-26,Betty's Grill,37209,36.152041,-86.846095,7857 days
494,12-19563,ONSALES,2012-09-20,2012-10-11,Gaylord Hotel Jackson C-D,37214,36.211694,-86.697639,3215 days
495,21-27221,SPECIAL,2021-05-01,2021-05-28,Nashville Helping Nashville,37206,36.17332,-86.760862,64 days
496,07-18617,ONSALES,2006-12-12,2007-01-11,Loews Vanderbilt (Mezzanine),37203,36.150104,-86.801927,5315 days
497,16-20356,ONSALES,2016-09-28,2016-10-13,Loser's Most Wanted Bar,37203,36.149826,-86.796857,1752 days
498,12-19586,ONSALES,2012-09-20,2012-10-11,Gaylord Hotel Solario,37214,36.211694,-86.697639,3215 days
499,05-18395,ONSALES,2005-07-13,2005-10-13,The Cheesecake Factory,37215,36.108504,-86.814774,5770 days
500,16-20389,ONSALES,2016-11-15,2016-12-19,The Urban Juicer,37209,36.15236,-86.83728,1685 days
501,16-20240,ONSALES,2015-11-23,2016-02-26,Blend Bar with Davidoff Cigars,37219,36.162961,-86.78063,1982 days
502,10-19209,ONSALES,2010-10-19,2010-11-04,Whiskey Kitchen,37203,36.155393,-86.7867,3922 days
503,19-25964,ONSALES,2019-04-02,2019-04-25,THE CHEF AND I ON NINTH,37203,36.150996,-86.78048,828 days
504,94-15999,ONSALES,1993-08-11,1994-02-01,"Sperry's Restaurant, Inc.",37205,36.104901,-86.868726,10042 days
505,15-20040,ONSALES,2014-06-16,2015-01-08,Smokin Thighs LLC,37203,36.133391,-86.769935,2396 days
506,94-16018,ONSALES,1993-09-09,1994-02-01,Cancun Mexican Rest.,37221,36.074787,-86.919884,10042 days
507,18-25645,ONOFFSALES,2018-08-10,2018-11-15,JACKALOPE BREWING COMPANY,37203,36.142883,-86.76697,989 days
508,18-25814,ONSALES,2018-12-20,2019-04-11,TONY'S MEXICAN RESTAURANT,37217,36.078427,-86.640443,842 days
509,12-19568,ONSALES,2012-09-20,2012-10-11,Gaylord Magnolia Boardroom A,37214,36.211694,-86.697639,3215 days
510,09-19115,ONSALES,2009-09-24,2009-11-09,Chipotle Mexican Grill,37203,36.14437,-86.813415,4282 days
511,07-00816,ONOFFSALES,2007-04-10,2007-05-10,Taqueria Lindo Michoacan,37013,36.068703,-86.693916,5196 days
512,18-25345,ONSALES,2018-01-24,2018-03-02,THE URBAN JUICER,37212,36.13835,-86.800685,1247 days
513,21-27150,ONSALES,2021-04-03,2021-07-13,KOI SUSHI & THAI,37203,36.15081,-86.804661,18 days
514,13-19736,ONSALES,2013-05-14,2013-06-13,Homewood Suites Nashville Airp,37214,36.151465,-86.6721,2970 days
515,06-18608,ONSALES,2006-10-25,2006-12-28,Pizza Hut,37214,36.169534,-86.678443,5329 days
516,12-19509,ONSALES,2012-08-06,2012-08-23,Honky Tonk Central,37201,36.161114,-86.777005,3264 days
517,17-25217,ONSALES,2017-09-15,2018-03-22,NASHVILLE URBAN WINERY,37206,36.175009,-86.759677,1227 days
518,18-25750,ONSALES,2018-10-29,2018-12-19,"HABANERO GRILL, LLC.",37214,36.169828,-86.675888,955 days
519,08-00834,ONOFFSALES,2008-01-29,2008-02-14,McDougal's Chicken Fingers and,37212,36.13676,-86.802232,4916 days
520,95-16496,ONSALES,1995-05-30,1995-06-14,The Olive Garden Italian Rest.,37115,36.295367,-86.700555,9544 days
521,16-20302,ONSALES,2016-05-25,2016-07-13,The DawgHouse Saloon,37203,36.152859,-86.790151,1844 days
522,18-25649,ONSALES,2018-08-14,2019-04-12,DOS CARNALES,37013,36.05951,-86.596737,841 days
523,15-20173,ONSALES,2015-08-03,2015-09-10,El Sombrero Mexican Restaurant,37211,36.026701,-86.71286,2151 days
524,18-25528,ONSALES,2018-05-22,2018-11-15,PELICAN & PIG,37206,36.189165,-86.745991,989 days
525,18-25384,SPECIAL,2018-02-16,2018-10-09,HOMECOMING AND OKTOBERFEST,37208,36.175257,-86.791192,1026 days
526,07-00825,ONOFFSALES,2007-09-24,2007-10-16,Bikini Beach Bar,37211,36.086762,-86.691671,5037 days
527,12-19580,ONSALES,2012-09-20,2012-10-11,Gaylord Hotel Presidential Mezzanine,37214,36.211694,-86.697639,3215 days
528,17-25132,ONSALES,2017-07-19,2017-08-10,DEE'S COUNTRY COCKTAIL LOUNGE,37115,36.249214,-86.718406,1451 days
529,99-17431,ONSALES,1998-11-16,1999-01-14,Mazatlan Mexican Restaurant,37027,36.035984,-86.785888,8234 days
530,13-19826,ONSALES,2013-10-09,2013-11-22,Chuy's,37214,36.204489,-86.691304,2808 days
531,18-25343,ONSALES,2018-01-18,2018-03-12,THE CHEF AND I ON NINTH,37203,36.150996,-86.78048,1237 days
532,12-19513,ONSALES,2012-04-20,2012-09-06,El Rey Azteca Mexican Restaura,37189,36.277183,-86.794966,3250 days
533,09-00869,ONOFFSALES,2009-09-08,2009-10-01,Sir Pizza,37115,36.25865,-86.713468,4321 days
534,06-18560,ONSALES,2006-10-10,2006-10-26,Lucky's Bar and Grill,37214,36.157202,-86.634605,5392 days
535,13-19797,ONSALES,2013-04-12,2013-09-26,Mickey's Tavern,37216,36.202778,-86.738917,2865 days
536,10-19206,ONSALES,2010-09-10,2010-11-01,Asihi,37221,36.079335,-86.952919,3925 days
537,15-20111,ONSALES,2014-10-29,2015-06-03,Asahi Japanese Restaurant,37205,36.103848,-86.869445,2250 days
538,12-19550,ONSALES,2012-09-20,2012-11-20,Gaylord Hotel Delta Island Boardroom,37214,36.211694,-86.697639,3175 days
539,16-20379,ONSALES,2016-08-16,2016-12-05,Luigi's City Pizza and Sun Rec,37201,36.161231,-86.775752,1699 days
540,13-19757,ONSALES,2013-06-24,2013-07-11,Darfons Restaurant and Lounge,37214,36.148517,-86.665159,2942 days
541,18-25481,ONSALES,2018-04-17,2019-02-28,400 DEGREES,37218,36.198322,-86.837927,884 days
542,12-19514,ONSALES,2012-08-22,2012-09-13,Osake Japanese Restaurant,37203,36.151433,-86.803999,3243 days
543,08-18858,ONSALES,2008-05-29,2008-06-12,Cheekwood Tennessee Botanical Gardens,37205,36.089481,-86.876312,4797 days
544,13-19746,ONSALES,2013-03-21,2013-06-20,Peg Leg Porker BBQ,37203,36.151995,-86.781119,2963 days
545,18-25501,ONOFFSALES,2018-05-07,2018-08-23,ROTIER'S RESTAURANT,37203,36.147858,-86.808009,1073 days
546,07-18688,ONSALES,2007-06-06,2007-06-28,"Levy Premium Foodservice, LP",37203,36.160427,-86.778611,5147 days
